OWNER,Zurich,CDS,FIX,Category,Gen,Model,Taille (pouces),Preocesseur,RAM (GB),Storage (GB),Hosting Power (W),Serial Number,PV,Client / Partenaire,Date d'envoi,Lieu,Solution / Commentaire
Yvan,,,,Laptop,G3,HP Dragonfly G3,,i7-1265U,16,512,,5CG22725PZ,,Marc ,,Test,HS touchpad
Yvan,,,,Laptop,G4,HP Dragonfly G4,,i7-1365U,16,256,,5CG3222KHQ,,Amanda,,Test,WXP
Yvan,,,,Laptop,G5,HP ProBook 470 G5,,i5-8250U,16,256,,5CD7398294,,,,Smart Locker,"Intune, WXP"
Yvan,,,,Laptop,G6,HP EliteBook 830 G6,,i7-8665U,8,256,,5CG9277BZB,,avivo,46049,Client,
Yvan,,,,Laptop,G6,HP EliteBook 830 G6,,i5-8365U,16,256,,5CG9265229,,,,Smart Locker,WXP
Yvan,,,,Laptop,G6,HP EliteBook 840 G6,,i5-8265U,16,512,,5CG9285XBQ,,avivo,46049,Client,
Yvan,,,,Laptop,G6,HP EliteBook 840 G6 HC,,i5-8365U,8,256,,5CG92565BK,,,,Stock,
Amanda,,,,Laptop,G6,HP EliteBook 840 G6 Refurbish,,i5-8365U,8,512,,5CG011334X,,,,Smart Locker,WXP
Yvan,,,,Laptop,G6,HP EliteBook x360 830 G6,,i7-8665U,8,512,,5CG9350K70,,avivo,46049,Client,
Yvan,,,,Laptop,G7,HP EliteBook 830 G7,,i5-10310U,8,256,,5CG032747P,,,,Stock,Mot de passe BIOS
Amanda,,,,Laptop,G7,HP EliteBook 840 G7 Refurbish,,i5-10310U,8,256,,5CG0419TRB,,,,Smart Locker,WXP
Amanda,,,,Laptop,G7,HP EliteBook 840 G7 Refurbish,,i5-10310U,8,256,,5CG04127NK,,,,Smart Locker,WXP
Amanda,,,,Laptop,G7,HP EliteBook 840 G7 Refurbish,,i5-10310U,8,256,,5CG05089TT,,Etat de geneve - bios update via linux,,Test,WXP
Yvan,,,,Laptop,G7,HP EliteBook 850 G7,,,,,,2TKB1200C9,yes,,,Stock,
Yvan,,,,Laptop,G7,HP EliteBook x360 1030 G7,,,,,,3T8017000C,yes,,,Stock,
Yvan,,,,Laptop,G8,HP EliteBook 840 G8,,,,,,000076030K,yes,Marc ,,Test,Fan Noisy
Amanda,,,,Laptop,G8,HP EliteBook x360 1030 G8,,i5-1135G7,16,512,,CND1034YY0,,,,Smart Locker,"Intune , WXP"
Yvan,,,,Laptop,G8,HP EliteBook x360 1030 G8,,i5-1135G7,16,512,,CND1034YYO,,,,Stock,
Yvan,,,,Laptop,G8,HP EliteBook x360 1030 G8,,i7-1185G7,16,512,,CND1234LQT,,Marc,,Test,HS
Yvan,,,,Laptop,G8,HP EliteBook x360 1040 G8,,i5-1135G7,16,512,,CND0396WHB,yes,,,Stock,
Yvan,,,,Laptop,G9,HP Elite x360 1040 G9 2-in-1,,i7-1265U,16,512,,5CG2364PQY,,,,Stock,
Yvan,,,,Laptop,G9,HP Elite x360 1040 G9 2-in-1,,i7-1265U,16,1024,,5CG215129Y,,,,Stock,
Yvan,1540,,,Laptop,G9,HP EliteBook 640 G9,,i5-1245U,16,512,,5CD2353LRX,,,,Stock,
Yvan,,,,Laptop,G9,HP EliteBook 650 G9,,i5-1235U,16,512,,5CD2238J0H,,Satom IT,46097,Test,WXP
Yvan,,,,Laptop,,HP Elite c1030 Chromebook,,i5-10310U,16,256,,5CD048F64Z,,,,Stock,
Benjamin,,,,Mobile Workstation,G11,HP ZBook Fury 16 G11,,,,,,5CG4366X98,,Wella - Sku#5F9H2ES,,Client,
Yvan,,,,Mobile Workstation,G11,HP Zbook Fury 16 G11,,,,,,5CG4366X9C,,,,Stock,
Yvan,2560,,,Mobile Workstation,G11,HP Zbook Fury 16 G11,,,,,,5CG4292H44,,,,Stock,
Yvan,,,,Mobile Workstation,G11,HP Zbook Studio 16 inch G11,,,,,,5CG43629J9,,,,Stock,
Hervé,2976,,,Mobile Workstation,G1a,"CHIRON 1.0 PCJL71ZBL000
HP ZBook Ultra G1a 14 inch",,,,,,00047711KJ,,,,Showroom,
Yvan,2833,,,Mobile Workstation,G1a,HP Zbook Ultra G1a 14,,,,,,5CG124GX3,,TEOXANE - Jean Scheibling / Olivier bortolotti,46097,Client,"Abimé dans le coin gauche...(Etat de Vaud)
Manque une alimentation de 140W"
Benjamin,2834,,,Mobile Workstation,G1a,Zbook Ultra G1a,,,,,,5CG5124F03,,UEFA,,Client,
Alissia,80,,,Mobile Workstation,G1i,HP Zbook 8 G1i 16,,,,,,5CG5233W23,,,,Stock,
Yvan,331,,,Mobile Workstation,G8,HP Zbook Fury 17.3 Inch G8,,,,,,CND1321WKK,,,,Stock,
Yvan,,,,Mobile Workstation,G8,HP Zbook Fury 17.3 Inch G8,,,,,,CND14600VM,,,,Stock,
Yvan,,,,PAIR RFP,G1i,HP Elitebook 8 G1i 14,,,,,,5CG5302MP8,,Mathieu CAILLET - Ville de Lausanne,45728,Client,
Yvan,,,,PAIR RFP,G1i,HP Elitedesk 8 G1i Mini ,,,,,,1HF531054Y,,Mathieu CAILLET - Ville de Lausanne,45728,Client,
Amanda,2234,,,Peripheral ,,HP 725 Multi-Device Rechargeable Wireless Keyboard,,,,,,7CH5396HZQ,,,,Stock,
Yvan,,,,SPARE PAIR,G1i,HP Elitebook 8 G1i 14,,,,,,5CG5302MPB,,Etat de Geneve - Felipe Regero,46066,Client,
Yvan,,,,SPARE PAIR,G1i,HP Elitebook 8 G1i U5 235U,,,,,,5CG52553QC,,,,5eme,
Yvan,,,,SPARE PAIR,G1i,HP Elitebook 8 G1i14,,,,,,5CG5302MP9,,"PAIR - DGEP,  M. Florian Gruber par MIB",45987,Client,
Yvan,,,,SPARE PAIR,G1i,HP Elitedesk 8 G1i Mini ,,,,,,1HF5310550,,,,5eme,
Yvan,,,,SPARE PAIR,G1i,HP Elitedesk 8 G1i Mini ,,,,,,1HF531054Z,,MIB - SEM Mr BIRR Alexandre (DIP) ,46076,Client,
Yvan,,,,SPARE PAIR,G1i,HP EliteDesk 8 SFF G1i,,,,,,CZC5297TXD,,MIB - SEM Mr BIRR Alexandre (DIP) ,46076,Client,
Yvan,,,,SPARE PAIR,G5,HP USB-C Dock G5 SWIS2,,,,,,1H9506ZT9J,,,,5eme,
Yvan,,,,SPARE PAIR,G5,HP USB-C Dock G5 SWIS2,,,,,,1H9506ZT4T,,,,5eme,
Yvan,,,,SPARE PAIR,G5,HP USB-C Dock G5 SWIS2,,,,,,1H9506ZRD5,,,,5eme,
Yvan,,,,SPARE PAIR,G5,HP USB-C Dock G5 SWIS2,,,,,,1H9506ZTB5,,,,5eme,
Yvan,,,,SPARE PAIR,G6,HP USB-C 100W G6 Dock,,,,,,5CG542XKPW,,Etat de Geneve - Felipe Regero,46066,Client,
Yvan,,,,SPARE PAIR,G6,HP USB-C 100W G6 Dock,,,,,,5CG542XGMF,,Etat de Vaud - M. Fabian Groux,46069,Client,
Yvan,,,,SPARE PAIR,G6,HP USB-C 100W G6 Dock,,,,,,5CG542XK0D,,,,Stock,
Amanda,,,,Thin Client,G1i,HP ProDesk 5 G1i Thin Client (IGEL),,,,,,8CG53546CG,,,,Stock,
Amanda,,,,Thin Client,G1i,HP ProDesk 5 G1i Thin Client (Win 11 Iot),,,,,,8CG535469N,,,,Showroom,
Yvan,,,,Thin Client,,HP mt22 Mobile Thin Client,,,,,,5CD028JP2G,,,,Stock,
Yvan,,,,Thin Client,,HP mt44,,,,,,5CG9076CVY,,,,Stock,
Amanda,,,,Thin Client ,G1i,HP ProDesk 5 G1i Thin Client (Thin Pro 9),,,,,,8CG53546D9,,,,Showroom,
Cynthia - Benjamin,,,,Workstation,G1i,HP Z2 Mini G1i Workstation Desktop PC,,,,,,8CN5190CLS,,"MIRABAUD, Swisscom",,Client,
Benjamin,,,FIX,Workstation,G1i,HP Z2 Twr G1i,,,,,,CZC53376KG,,Rolex (T. Potin),46071,Client,
Benjamin,,,FIX,Workstation,G1n,HP ZGX Nano G1n AI Station,,,,,,3TP5470078,,UEFA - Alexandre,46117,Client,
Herve,,,FIX,Workstation,G4,HP Z8 G4 Workstation,,,,,,CZC904C10F,,,,Showroom,Demo Yann Ballestra
Hervé,,,,Workstation,G9,HP Z2 Mini G9,,,,,,8CN2281ZCM,,,,Stock,
Hervé,,,,Workstation,G9,HP Z2 Mini G9 - PV,,,,,,,yes,,,Stock,
Amanda,,,,Workstation,,HP Z Captis,,,,,,8CD512004R,,Jet Aviation,46144,Client,
